Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Track_link,4.9967,-4.4409E-16,-0.0125,0,0,0,675,9.6258,-1.4331E-12,-5.6401E-13,5625,2.6467E-13,5634.6,0,0,0,0,0,0,package://Track_01/meshes/Track_link.STL,0,0,0,1,0,0,0,0,0,0,package://Track_01/meshes/Track_link.STL,,track-1,track_co,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Track_lane,4.9,-1.3323E-15,-0.0125,0,0,0,45,0.011719,-6.7221E-17,-1.9421E-17,0.039844,-5.9169E-18,0.046875,0,0,0,0,0,0,package://Track_01/meshes/Track_lane.STL,1,1,1,1,0,0,0,0,0,0,package://Track_01/meshes/Track_lane.STL,,lane_track_01-1,track_lane_co,,Track_lane_joint,fixed,0.15,0,0,0,0,0,Track_link,0,0,0,,,,,,,,,,,,
Back_Track,0,-8.8818E-16,-0.0125,0,0,0,135,1.9252,1.1213E-14,-4.978E-15,45.006,-5.6329E-17,46.917,0,0,0,0,0,0,package://Track_01/meshes/Back_Track.STL,0,0,0,1,0,0,0,0,0,0,package://Track_01/meshes/Back_Track.STL,,additive_to_track-2,BT_co,,Back_Track_joint,fixed,-1.0033,0,0,0,0,0,Track_link,0,0,0,,,,,,,,,,,,
Back_lane,0.5,8.8818E-16,-0.0125,0,0,0,9,0.0023438,-2.4882E-17,-6.6795E-18,0.0079688,2.6971E-18,0.009375,0,0,0,0,0,0,package://Track_01/meshes/Back_lane.STL,1,1,1,1,0,0,0,0,0,0,package://Track_01/meshes/Back_lane.STL,,lane_addetive-2,BL_co,,Back_lane_joint,fixed,-0.44667,0,0,0,0,0,Back_Track,0,0,0,,,,,,,,,,,,
Front_Track,0,0,-0.0125,0,0,0,135,1.9252,-2.9754E-14,-6.9568E-15,45.006,-3.4254E-16,46.917,0,0,0,0,0,0,package://Track_01/meshes/Front_Track.STL,0,0,0,1,0,0,0,0,0,0,package://Track_01/meshes/Front_Track.STL,,additive_to_track-1,FT_co,,Front_Track_joint,fixed,10.997,0,0,0,0,0,Track_link,0,0,0,,,,,,,,,,,,
Front_lane,-0.9,1.1102E-16,-0.0125,0,0,0,9,0.0023438,9.9204E-18,4.8054E-18,0.0079687,-1.2041E-18,0.009375,0,0,0,0,0,0,package://Track_01/meshes/Front_lane.STL,1,1,1,1,0,0,0,0,0,0,package://Track_01/meshes/Front_lane.STL,,lane_addetive-1,FL_co,,Front_lane_joint,fixed,0.95333,0,0,0,0,0,Front_Track,0,0,0,,,,,,,,,,,,
