Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Track_link,4.9984,8.8818E-16,-0.0125,0,0,0,1395,76.863,-1.7035E-12,4.5741E-13,11625,-6.8212E-13,11702,0,0,0,0,0,0,package://Track_01/meshes/Track_link.STL,0,0,0,1,0,0,0,0,0,0,package://Track_01/meshes/Track_link.STL,,track-1,track_co,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Track_lane,4.9,8.8818E-16,-0.0125,0,0,0,45,0.011719,-8.1749E-17,-6.0715E-18,0.039844,1.0083E-17,0.046875,0,0,0,0,0,0,package://Track_01/meshes/Track_lane.STL,1,1,1,1,0,0,0,0,0,0,package://Track_01/meshes/Track_lane.STL,,lane_track_01-1,track_lane_co,,Track_lane_joint,fixed,0.15,0,0,0,0,0,Track_link,0,0,0,,,,,,,,,,,,
Back_Track,0,-8.8818E-16,-0.0125,0,0,0,279,15.373,-2.7445E-13,2.2204E-16,93.014,-2.4425E-15,108.36,0,0,0,0,0,0,package://Track_01/meshes/Back_Track.STL,0,0,0,1,0,0,0,0,0,0,package://Track_01/meshes/Back_Track.STL,,additive_to_track-2,BT_co,,Back_Track_joint,fixed,-1.0016,0,0,0,0,0,Track_link,0,0,0,,,,,,,,,,,,
Back_lane,0.5,-6.6613E-14,-0.0125,0,0,0,9,0.0023438,-7.9689E-18,4.0115E-18,0.0079688,-4.8789E-18,0.009375,0,0,0,0,0,0,package://Track_01/meshes/Back_lane.STL,1,1,1,1,0,0,0,0,0,0,package://Track_01/meshes/Back_lane.STL,,lane_addetive-2,BL_co,,Back_lane_joint,fixed,-0.44839,0,0,0,0,0,Back_Track,0,0,0,,,,,,,,,,,,
BST,0,0.65,-0.0625,0,0,0,1800,39.844,-1.4211E-14,-1.6875E-14,602.34,-4.2633E-14,637.5,0,0,0,0,0,0,package://Track_01/meshes/BST.STL,0.5,0.5,0.5,1,0,0,0,0,0,0,package://Track_01/meshes/BST.STL,,add_sidewalk-1;add_sidewalk-4,BST_co,,BST_joint,fixed,0.0016129,-0.65,0.1,0,0,0,Back_Track,0,0,0,,,,,,,,,,,,
Front_Track,0,4.4409E-16,-0.0125,0,0,0,279,15.373,6.2172E-14,-1.8874E-15,93.014,-7.1054E-15,108.36,0,0,0,0,0,0,package://Track_01/meshes/Front_Track.STL,0,0,0,1,0,0,0,0,0,0,package://Track_01/meshes/Front_Track.STL,,additive_to_track-1,FT_co,,Front_Track_joint,fixed,10.998,0,0,0,0,0,Track_link,0,0,0,,,,,,,,,,,,
Front_lane,-0.9,-2.1538E-14,-0.0125,0,0,0,9,0.0023438,-1.5179E-18,3.0629E-18,0.0079688,-8.9447E-19,0.009375,0,0,0,0,0,0,package://Track_01/meshes/Front_lane.STL,1,1,1,1,0,0,0,0,0,0,package://Track_01/meshes/Front_lane.STL,,lane_addetive-1,FL_co,,Front_lane_joint,fixed,0.95161,0,0,0,0,0,Front_Track,0,0,0,,,,,,,,,,,,
FST,8.8818E-16,0.65,-0.0625,0,0,0,1800,39.844,9.8588E-14,-1.7764E-15,602.34,5.6843E-14,637.5,0,0,0,0,0,0,package://Track_01/meshes/FST.STL,0.5,0.5,0.5,1,0,0,0,0,0,0,package://Track_01/meshes/FST.STL,,add_sidewalk-2;add_sidewalk-3,FST_co,,FST_joint,fixed,0.0016129,-0.65,0.1,0,0,0,Front_Track,0,0,0,,,,,,,,,,,,
sidewalk,-3.5527E-15,0.65,-0.0625,0,0,0,9000,199.22,-4.7358E-12,-2.4176E-12,75012,-2.5011E-12,75187,0,0,0,0,0,0,package://Track_01/meshes/sidewalk.STL,0.5,0.5,0.5,1,0,0,0,0,0,0,package://Track_01/meshes/sidewalk.STL,,sidewalk-1;sidewalk-3,ST_co,,sidewalk_joint,fixed,5,-0.65,0.1,0,0,0,Track_link,0,0,0,,,,,,,,,,,,
