Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Track_link,4.9967,0.2,-0.0125,0,0,0,1350,19.252,-2.4172E-12,3.3898E-13,11250,-1.5979E-12,11269,0,0,0,0,0,0,package://Track_02/meshes/Track_link.STL,0,0,0,1,0,0,0,0,0,0,package://Track_02/meshes/Track_link.STL,,track-1;track-2,track_co,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Track_lane,4.9,0.2,-0.0125,0,0,0,90,0.023438,-1.6653E-16,-4.5597E-17,0.079688,-1.9891E-17,0.09375,0,0,0,0,0,0,package://Track_02/meshes/Track_lane.STL,1,1,1,1,0,0,0,0,0,0,package://Track_02/meshes/Track_lane.STL,,lane_track_01-1;lane_track_01-2,track_lane_co,,Track_lane_joint,fixed,0.15,0,0,0,0,0,Track_link,0,0,0,,,,,,,,,,,,
Back_Track,-3.5527E-15,0.2,-0.0125,0,0,0,270,3.8503,3.6304E-14,-4.1112E-15,90.011,-3.0929E-15,93.833,0,0,0,0,0,0,package://Track_02/meshes/Back_Track.STL,0,0,0,1,0,0,0,0,0,0,package://Track_02/meshes/Back_Track.STL,,additive_to_track-2;additive_to_track-3,BT_co,,Back_Track_joint,fixed,-1.0033,0,0,0,0,0,Track_link,0,0,0,,,,,,,,,,,,
Back_lane,0.5,0.2,-0.0125,0,0,0,18,0.0046875,-5.0524E-17,-1.4925E-17,0.015938,9.2625E-18,0.01875,0,0,0,0,0,0,package://Track_02/meshes/Back_lane.STL,1,1,1,1,0,0,0,0,0,0,package://Track_02/meshes/Back_lane.STL,,lane_addetive-2;lane_addetive-4,BL_co,,Back_lane_joint,fixed,-0.44667,0,0,0,0,0,Back_Track,0,0,0,,,,,,,,,,,,
Front_Track,2.6645E-15,0.2,-0.0125,0,0,0,270,3.8503,-3.8858E-15,8.3747E-16,90.011,-2.8067E-15,93.833,0,0,0,0,0,0,package://Track_02/meshes/Front_Track.STL,0,0,0,1,0,0,0,0,0,0,package://Track_02/meshes/Front_Track.STL,,additive_to_track-1;additive_to_track-4,FT_co,,Front_Track_joint,fixed,10.997,0,0,0,0,0,Track_link,0,0,0,,,,,,,,,,,,
Front_lane,-0.9,0.2,-0.0125,0,0,0,18,0.0046875,-9.7578E-18,-1.1419E-17,0.015937,1.1273E-18,0.01875,0,0,0,0,0,0,package://Track_02/meshes/Front_lane.STL,1,1,1,1,0,0,0,0,0,0,package://Track_02/meshes/Front_lane.STL,,lane_addetive-1;lane_addetive-3,FL_co,,Front_lane_joint,fixed,0.95333,0,0,0,0,0,Front_Track,0,0,0,,,,,,,,,,,,
obstacle_1,0,0,-0.1,0,0,0,12,0.13,-1.0408E-17,2.3309E-17,0.08,-3.0743E-17,0.13,0,0,0,0,0,0,package://Track_02/meshes/obstacle_1.STL,0,1,0,1,0,0,0,0,0,0,package://Track_02/meshes/obstacle_1.STL,,obstacle_1-1,obs_1_co,,obstacle_1_joint,fixed,4.1,0,0.2,0,0,0,Track_link,0,0,0,,,,,,,,,,,,
obstacle_2,-8.8818E-16,4.4409E-16,-0.1,0,0,0,16,0.26667,1.6653E-16,4.383E-17,0.10667,-7.4929E-17,0.26667,0,0,0,0,0,0,package://Track_02/meshes/obstacle_2.STL,1,0,0,1,0,0,0,0,0,0,package://Track_02/meshes/obstacle_2.STL,,obstacle_2-2,obs_2_co,,obstacle_2_joint,fixed,8.1,0.35,0.2,0,0,0,Track_link,0,0,0,,,,,,,,,,,,
